date,temperature,humidity,city,weather_condition,event,attendees
2024-03-29,25.1,37.2,Miami,Snowy,Career Expo,552
2024-03-30,23.2,67.3,Los Angeles,Rainy,Book Launch,675
2024-03-31,13.6,44.5,Seattle,Rainy,Medical Conference,505
2024-04-01,15.0,42.0,San Francisco,Cloudy,Career Fair,472
2024-04-02,23.4,43.1,Chicago,Rainy,Music Festival,219
2024-04-03,25.6,62.0,Los Angeles,Snowy,Art Fair,625
2024-04-04,17.2,48.7,Los Angeles,Rainy,Book Launch,112
2024-04-05,19.2,48.3,Chicago,Cloudy,Indoor Marathon,337
2024-04-06,15.4,39.9,Los Angeles,Cloudy,Music Festival,544
2024-04-07,13.9,59.3,New York,Cloudy,Career Expo,255
2024-04-08,26.8,40.5,Los Angeles,Cloudy,Career Fair,370
2024-04-09,12.6,53.6,Chicago,Cloudy,Career Expo,164
